date,away.team,away.score,home.score,home.team,url
2014-08-27,Abilene Christian,37,38,Georgia St.,http://sports.yahoo.com/ncaaf/abilene-christian-wildcats-georgia-state-panthers-201408272558/
2014-08-28,Texas A&M,52,28,South Carolina,http://sports.yahoo.com/ncaaf/texas-am-aggies-south-carolina-gamecocks-201408280070/
2014-08-28,Eastern Illinois,20,42,Minnesota,http://sports.yahoo.com/ncaaf/eastern-illinois-panthers-minnesota-golden-gophers-201408280031/
2014-08-28,Presbyterian,3,55,Northern Illinois,http://sports.yahoo.com/ncaaf/presbyterian-blue-hose-northern-illinois-huskies-201408280042/
2014-08-28,Howard,0,41,Akron,http://sports.yahoo.com/ncaaf/howard-bison-akron-zips-201408280047/
2014-08-28,Chattanooga,16,20,Cent. Michigan,http://sports.yahoo.com/ncaaf/chattanooga-mocs-central-michigan-chippewas-201408280050/
2014-08-28,Wake Forest,10,17,LA Monroe,http://sports.yahoo.com/ncaaf/wake-forest-demon-deacons-louisiana-monroe-warhawks-201408280103/
2014-08-28,Idaho St.,14,56,Utah,http://sports.yahoo.com/ncaaf/idaho-state-bengals-utah-utes-201408280094/
2014-08-28,Cal Poly,10,28,N. Mex. St.,http://sports.yahoo.com/ncaaf/cal-poly-mustangs-new-mexico-state-aggies-201408280041/
2014-08-28,Boise St.,13,35,Mississippi,http://sports.yahoo.com/ncaaf/boise-state-broncos-ole-miss-rebels-201408280077/
2014-08-28,Tulane,31,38,Tulsa,http://sports.yahoo.com/ncaaf/tulane-green-wave-tulsa-golden-hurricane-201408280107/
2014-08-28,Temple,37,7,Vanderbilt,http://sports.yahoo.com/ncaaf/temple-owls-vanderbilt-commodores-201408280072/
2014-08-28,North Dakota,10,42,San Jose St.,http://sports.yahoo.com/ncaaf/north-dakota-san-jose-state-spartans-201408280044/
2014-08-28,Rutgers,41,38,Washington St.,http://sports.yahoo.com/ncaaf/rutgers-scarlet-knights-washington-state-cougars-201408280066/
2014-08-28,Weber St.,14,45,Arizona St.,http://sports.yahoo.com/ncaaf/weber-state-wildcats-arizona-state-sun-devils-201408280058/
2014-08-29,BYU,35,10,Connecticut,http://sports.yahoo.com/ncaaf/byu-cougars-connecticut-huskies-201408290202/
2014-08-29,Villanova,26,27,Syracuse,http://sports.yahoo.com/ncaaf/villanova-wildcats-syracuse-orange-201408290014/
2014-08-29,Jacksonville St.,7,45,Michigan St.,http://sports.yahoo.com/ncaaf/jacksonville-state-gamecocks-michigan-state-spartans-201408290030/
2014-08-29,Bowling Green,31,59,W. Kentucky,http://sports.yahoo.com/ncaaf/bowling-green-falcons-western-kentucky-hilltoppers-201408290224/
2014-08-29,Colorado St.,31,17,Colorado,http://sports.yahoo.com/ncaaf/colorado-state-rams-colorado-buffaloes-201408290018/
2014-08-29,UTSA,27,7,Houston,http://sports.yahoo.com/ncaaf/utsa-roadrunners-houston-cougars-201408290080/
2014-08-29,UNLV,13,58,Arizona,http://sports.yahoo.com/ncaaf/unlv-rebels-arizona-wildcats-201408290057/
2014-08-30,Penn St.,26,24,UCF,http://sports.yahoo.com/ncaaf/penn-state-nittany-lions-ucf-knights-201408300210/
2014-08-30,UCLA,28,20,Virginia,http://sports.yahoo.com/ncaaf/ucla-bruins-virginia-cavaliers-201408300008/
2014-08-30,Delaware,0,62,Pittsburgh,http://sports.yahoo.com/ncaaf/delaware-fightin-blue-hens-pittsburgh-panthers-201408300012/
2014-08-30,N. Dak. St.,34,14,Iowa St.,http://sports.yahoo.com/ncaaf/north-dakota-state-bison-iowa-state-cyclones-201408300019/
2014-08-30,Youngstown St.,17,28,Illinois,http://sports.yahoo.com/ncaaf/youngstown-state-penguins-illinois-fighting-illini-201408300026/
2014-08-30,Indiana St.,10,28,Indiana,http://sports.yahoo.com/ncaaf/indiana-state-sycamores-indiana-hoosiers-201408300027/
2014-08-30,Northern Iowa,23,31,Iowa,http://sports.yahoo.com/ncaaf/uni-panthers-iowa-hawkeyes-201408300028/
2014-08-30,Appalachian St.,14,52,Michigan,http://sports.yahoo.com/ncaaf/appalachian-state-mountaineers-michigan-wolverines-201408300029/
2014-08-30,W. Michigan,34,43,Purdue,http://sports.yahoo.com/ncaaf/western-michigan-broncos-purdue-boilermakers-201408300035/
2014-08-30,Tenn-Martin,14,59,Kentucky,http://sports.yahoo.com/ncaaf/utm-skyhawks-kentucky-wildcats-201408300069/
2014-08-30,Ohio St.,34,17,Navy,http://sports.yahoo.com/ncaaf/ohio-state-buckeyes-navy-midshipmen-201408300102/
2014-08-30,Troy,10,48,UAB,http://sports.yahoo.com/ncaaf/troy-trojans-uab-blazers-201408300207/
2014-08-30,Wofford,19,38,Georgia Tech,http://sports.yahoo.com/ncaaf/wofford-terriers-georgia-tech-yellow-jackets-201408300004/
2014-08-30,Georgia Southern,23,24,N.C. State,http://sports.yahoo.com/ncaaf/georgia-southern-eagles-north-carolina-state-wolfpack-201408300007/
2014-08-30,Colgate,10,30,Ball St.,http://sports.yahoo.com/ncaaf/colgate-raiders-ball-state-cardinals-201408300048/
2014-08-30,Nicholls,16,44,Air Force,http://sports.yahoo.com/ncaaf/nicholls-colonels-air-force-falcons-201408300087/
2014-08-30,Southern Utah,19,28,Nevada,http://sports.yahoo.com/ncaaf/southern-utah-thunderbirds-nevada-wolf-pack-201408300039/
2014-08-30,Boston Coll.,30,7,UMass,http://sports.yahoo.com/ncaaf/boston-college-eagles-massachusetts-minutemen-201408300204/
2014-08-30,James Madison,7,52,Maryland,http://sports.yahoo.com/ncaaf/james-madison-dukes-maryland-terrapins-201408300005/
2014-08-30,S. Dakota St.,18,38,Missouri,http://sports.yahoo.com/ncaaf/south-dakota-state-jackrabbits-missouri-tigers-201408300022/
2014-08-30,Florida Atlantic,7,55,Nebraska,http://sports.yahoo.com/ncaaf/florida-atlantic-owls-nebraska-cornhuskers-201408300023/
2014-08-30,California,31,24,Northwestern,http://sports.yahoo.com/ncaaf/california-golden-bears-northwestern-wildcats-201408300032/
2014-08-30,Marshall,42,27,Miami (OH),http://sports.yahoo.com/ncaaf/marshall-thundering-herd-miami-oh-redhawks-201408300053/
2014-08-30,West Virginia,23,33,Alabama,http://sports.yahoo.com/ncaaf/west-virginia-mountaineers-alabama-crimson-tide-201408300073/
2014-08-30,Rice,17,48,Notre Dame,http://sports.yahoo.com/ncaaf/rice-owls-notre-dame-fighting-irish-201408300104/
