away.score,away.team,date,home.score,home.team,uid,url
40,Arkansas St.,2014-10-21,55,La Lafayet.,ncaaf.g.201410210045,http://sports.yahoo.com/ncaaf/arkansas-state-red-wolves-louisiana-lafayette-ragin-cajuns-201410210045/
21,Connecticut,2014-10-23,31,East Carolina,ncaaf.g.201410230099,http://sports.yahoo.com/ncaaf/connecticut-huskies-east-carolina-pirates-201410230099/
30,Miami (FL),2014-10-23,6,Virginia Tech,ncaaf.g.201410230016,http://sports.yahoo.com/ncaaf/miami-fl-hurricanes-virginia-tech-hokies-201410230016/
17,South Florida,2014-10-24,34,Cincinnati,ncaaf.g.201410240098,http://sports.yahoo.com/ncaaf/south-florida-bulls-cincinnati-bearcats-201410240098/
13,Troy,2014-10-24,27,South Alabama,ncaaf.g.201410242549,http://sports.yahoo.com/ncaaf/troy-trojans-south-alabama-jaguars-201410242549/
30,BYU,2014-10-24,55,Boise St.,ncaaf.g.201410240112,http://sports.yahoo.com/ncaaf/byu-cougars-boise-state-broncos-201410240112/
59,Oregon,2014-10-24,41,California,ncaaf.g.201410240059,http://sports.yahoo.com/ncaaf/oregon-ducks-california-golden-bears-201410240059/
0,Texas,2014-10-25,23,Kansas St.,ncaaf.g.201410250021,http://sports.yahoo.com/ncaaf/texas-longhorns-kansas-state-wildcats-201410250021/
24,Rutgers,2014-10-25,42,Nebraska,ncaaf.g.201410250023,http://sports.yahoo.com/ncaaf/rutgers-scarlet-knights-nebraska-cornhuskers-201410250023/
24,Minnesota,2014-10-25,28,Illinois,ncaaf.g.201410250026,http://sports.yahoo.com/ncaaf/minnesota-golden-gophers-illinois-fighting-illini-201410250026/
7,Maryland,2014-10-25,52,Wisconsin,ncaaf.g.201410250036,http://sports.yahoo.com/ncaaf/maryland-terrapins-wisconsin-badgers-201410250036/
17,UAB,2014-10-25,45,Arkansas,ncaaf.g.201410250074,http://sports.yahoo.com/ncaaf/uab-blazers-arkansas-razorbacks-201410250074/
21,North Texas,2014-10-25,41,Rice,ncaaf.g.201410250081,http://sports.yahoo.com/ncaaf/north-texas-mean-green-rice-owls-201410250081/
48,Memphis,2014-10-25,10,SMU,ncaaf.g.201410250082,http://sports.yahoo.com/ncaaf/memphis-tigers-smu-mustangs-201410250082/
28,N. Carolina,2014-10-25,27,Virginia,ncaaf.g.201410250008,http://sports.yahoo.com/ncaaf/north-carolina-tar-heels-virginia-cavaliers-201410250008/
28,Northern Illinois,2014-10-25,17,East. Michigan,ncaaf.g.201410250051,http://sports.yahoo.com/ncaaf/northern-illinois-huskies-eastern-michigan-eagles-201410250051/
31,San Jose St.,2014-10-25,41,Navy,ncaaf.g.201410250102,http://sports.yahoo.com/ncaaf/san-jose-state-spartans-navy-midshipmen-201410250102/
40,UCLA,2014-10-25,37,Colorado,ncaaf.g.201410250018,http://sports.yahoo.com/ncaaf/ucla-bruins-colorado-buffaloes-201410250018/
21,Akron,2014-10-25,35,Ball St.,ncaaf.g.201410250048,http://sports.yahoo.com/ncaaf/akron-zips-ball-state-cardinals-201410250048/
35,UMass,2014-10-25,42,Toledo,ncaaf.g.201410250055,http://sports.yahoo.com/ncaaf/massachusetts-minutemen-toledo-rockets-201410250055/
21,Ohio,2014-10-25,42,W. Michigan,ncaaf.g.201410250056,http://sports.yahoo.com/ncaaf/ohio-bobcats-western-michigan-broncos-201410250056/
69,Georgia Southern,2014-10-25,31,Georgia St.,ncaaf.g.201410252558,http://sports.yahoo.com/ncaaf/georgia-southern-eagles-georgia-state-panthers-201410252558/
3,Kent St.,2014-10-25,10,Miami (OH),ncaaf.g.201410250053,http://sports.yahoo.com/ncaaf/kent-state-golden-flashes-miami-oh-redhawks-201410250053/
23,Boston Coll.,2014-10-25,17,Wake Forest,ncaaf.g.201410250009,http://sports.yahoo.com/ncaaf/boston-college-eagles-wake-forest-demon-deacons-201410250009/
56,Georgia Tech,2014-10-25,28,Pittsburgh,ncaaf.g.201410250012,http://sports.yahoo.com/ncaaf/georgia-tech-yellow-jackets-pittsburgh-panthers-201410250012/
34,West Virginia,2014-10-25,10,Oklahoma St.,ncaaf.g.201410250025,http://sports.yahoo.com/ncaaf/west-virginia-mountaineers-oklahoma-state-cowboys-201410250025/
11,Michigan,2014-10-25,35,Michigan St.,ncaaf.g.201410250030,http://sports.yahoo.com/ncaaf/michigan-wolverines-michigan-state-spartans-201410250030/
14,Oregon St.,2014-10-25,38,Stanford,ncaaf.g.201410250063,http://sports.yahoo.com/ncaaf/oregon-state-beavers-stanford-cardinal-201410250063/
45,Mississippi St.,2014-10-25,31,Kentucky,ncaaf.g.201410250069,http://sports.yahoo.com/ncaaf/mississippi-state-bulldogs-kentucky-wildcats-201410250069/
27,Texas Tech,2014-10-25,82,TCU,ncaaf.g.201410250085,http://sports.yahoo.com/ncaaf/texas-tech-red-raiders-tcu-horned-frogs-201410250085/
31,Louisiana Tech,2014-10-25,20,Southern Miss,ncaaf.g.201410250105,http://sports.yahoo.com/ncaaf/louisiana-tech-bulldogs-southern-miss-golden-eagles-201410250105/
16,Florida Atlantic,2014-10-25,35,Marshall,ncaaf.g.201410250176,http://sports.yahoo.com/ncaaf/florida-atlantic-owls-marshall-thundering-herd-201410250176/
20,Cent. Michigan,2014-10-25,14,Buffalo,ncaaf.g.201410250208,http://sports.yahoo.com/ncaaf/central-michigan-chippewas-buffalo-bulls-201410250208/
14,Vanderbilt,2014-10-25,24,Missouri,ncaaf.g.201410250022,http://sports.yahoo.com/ncaaf/vanderbilt-commodores-missouri-tigers-201410250022/
20,UNLV,2014-10-25,34,Utah St.,ncaaf.g.201410250046,http://sports.yahoo.com/ncaaf/unlv-rebels-utah-state-aggies-201410250046/
51,Old Dominion,2014-10-25,66,W. Kentucky,ncaaf.g.201410250224,http://sports.yahoo.com/ncaaf/old-dominion-monarchs-western-kentucky-hilltoppers-201410250224/
14,Temple,2014-10-25,34,UCF,ncaaf.g.201410250210,http://sports.yahoo.com/ncaaf/temple-owls-ucf-knights-201410250210/
59,Arizona,2014-10-25,37,Washington St.,ncaaf.g.201410250066,http://sports.yahoo.com/ncaaf/arizona-wildcats-washington-state-cougars-201410250066/
